대여반납번호,회원ID ,도서코드,대여일,반납예정일,반납연기여부,반납일,연체여부
1,jojo123@naver.com,0401.001-1,2019.08.15,2019.8.30,0,2019.08.30,0
2,jojo123@naver.com,0401.002-1,2019.08.15,2019.8.30,0,2019.08.30,0
3,jojo123@naver.com,0401.003-1,2019.08.15,2019.8.30,0,2019.08.30,0
4,jojo123@naver.com,0401.004-1,2019.08.15,2019.8.30,0,2019.08.30,0
5,jojo123@naver.com,0401.005-1,2019.08.15,2019.8.30,0,2019.08.30,0
6,jojo123@naver.com,0401.006-1,2019.08.30,2019.09.13,0,2019.09.13,0
7,jojo123@naver.com,0401.007-1,2019.08.30,2019.09.13,0,2019.09.13,0
8,jojo123@naver.com,0401.008-1,2019.08.30,2019.09.13,0,2019.09.13,0
9,jojo123@naver.com,0401.009-1,2019.08.30,2019.09.13,0,2019.09.13,0
10,jojo123@naver.com,0401.010-1,2019.08.30,2019.09.13,0,2019.09.13,0
11,jojo123@naver.com,0401.011-1,2019.09.15,2019.09.29,0,2019.09.29,0
12,jojo123@naver.com,0401.012-1,2019.09.15,2019.09.29,0,2019.09.29,0
13,jojo123@naver.com,0401.013-1,2019.09.15,2019.09.29,0,2019.09.29,0
14,jojo123@naver.com,0401.014-1,2019.09.15,2019.09.29,0,2019.09.29,0
15,jojo123@naver.com,0401.015-1,2019.09.15,2019.09.29,0,2019.09.29,0
16,jojo123@naver.com,0401.016-1,2019.09.29,2019.10.13,0,2019.10.13,0
17,jojo123@naver.com,0401.017-1,2019.09.29,2019.10.13,0,2019.10.13,0
18,jojo123@naver.com,0401.018-1,2019.09.29,2019.10.13,0,2019.10.13,0
19,jojo123@naver.com,0401.019-1,2019.09.29,2019.10.13,0,2019.10.13,0
20,jojo123@naver.com,0401.020-1,2019.09.29,2019.10.13,0,2019.10.13,0
21,jojo123@naver.com,0102.001-1,2019.10.13,2019.10.28,0,2019.10.28,0
22,jojo123@naver.com,0102.002-1,2019.10.13,2019.10.28,0,2019.10.28,0
23,jojo123@naver.com,0102.003-1,2019.10.13,2019.10.28,0,2019.10.28,0
24,jojo123@naver.com,0102.004-1,2019.10.13,2019.10.28,0,2019.10.28,0
25,jojo123@naver.com,0102.005-1,2019.10.13,2019.10.28,0,2019.10.28,0
26,jojo123@naver.com,0102.006-1,2019.10.28,2019.11.12,0,2019.11.12,0
27,jojo123@naver.com,0102.007-1,2019.10.28,2019.11.12,0,2019.11.12,0
28,jojo123@naver.com,0201.001-1,2019.10.28,2019.11.12,0,2019.11.12,0
29,jojo123@naver.com,0201.002-1,2019.10.28,2019.11.12,0,2019.11.12,0
30,jojo123@naver.com,0201.003-1,2019.10.28,2019.11.12,0,2019.11.12,0
31,jojo123@naver.com,0201.004-1,2019.11.12,2019.11.27,0,2019.11.27,0
32,jojo123@naver.com,0201.005-1,2019.11.12,2019.11.27,0,2019.11.27,0
33,jojo123@naver.com,0201.006-1,2019.11.12,2019.11.27,0,2019.11.27,0
34,jojo123@naver.com,0201.007-1,2019.11.12,2019.11.27,0,2019.11.27,0
35,jojo123@naver.com,0202.001-1,2019.11.12,2019.11.27,0,2019.11.27,0
36,jojo123@naver.com,0202.002-1,2019.11.27,2019.12.12,0,2019.12.12,0
